DateTime,Air temperature | (°C),Power generated by system | (MW),Pressure | (atm),Wind speed | (m/s)
1/1/2019 1:00,10.926,33.6881,0.979103,9.014
1/1/2019 2:00,9.919,37.2619,0.979566,9.428
1/1/2019 3:00,8.567,30.5029,0.979937,8.7
1/1/2019 4:00,7.877,28.4192,0.980053,8.481
1/1/2019 5:00,7.259,27.3703,0.979867,8.383
1/1/2019 6:00,6.57,25.8059,0.979884,8.256
1/1/2019 7:00,5.897,11.5468,0.980318,6.476
1/1/2019 8:00,5.109,8.36076,0.980597,5.906
1/1/2019 9:00,4.413,6.42664,0.980711,5.557
1/1/2019 10:00,3.754,9.34945,0.980902,6.081
1/1/2019 11:00,3.169,18.6136,0.981166,7.384
1/1/2019 12:00,2.637,35.3811,0.981347,9.072
1/1/2019 13:00,1.948,17.3315,0.981703,7.142
1/1/2019 14:00,2.296,19.8723,0.982196,7.451
1/1/2019 15:00,4.042,8.19046,0.982576,5.764
1/1/2019 16:00,5.504,8.7318,0.982961,5.887
1/1/2019 17:00,6.217,8.57877,0.983083,5.866
1/1/2019 18:00,6.74,11.03,0.983409,6.266
1/1/2019 19:00,7.25,11.0884,0.983824,6.278
1/1/2019 20:00,7.579,11.2202,0.984266,6.311
1/1/2019 21:00,7.612,14.6931,0.984686,6.864
1/1/2019 22:00,7.139,15.0647,0.985268,6.904
1/1/2019 23:00,5.44,16.2475,0.986055,7.024
1/2/2019 0:00,4.506,34.74,0.986852,9.013
1/2/2019 1:00,3.621,35.3936,0.987624,9.166
1/2/2019 2:00,2.707,35.2784,0.988206,9.128
1/2/2019 3:00,2.043,43.5828,0.988741,9.849
1/2/2019 4:00,1.268,42.3415,0.988973,9.738
1/2/2019 5:00,0.357,40.3467,0.989072,9.544
1/2/2019 6:00,-0.702,42.2588,0.989481,9.712
1/2/2019 7:00,-0.28,45.5699,0.989868,10.046
1/2/2019 8:00,-0.126,41.6162,0.990032,9.75
1/2/2019 9:00,-0.215,42.9783,0.990204,9.874
1/2/2019 10:00,-0.281,41.3066,0.990265,9.755
1/2/2019 11:00,-0.478,39.9035,0.990621,9.614
